1694,1894,1628,1732,09:18:26,2017-07-18 
1695,1903,1628,1732,09:18:31,2017-07-18 
1693,1898,1629,1732,09:18:37,2017-07-18 
1695,1900,1627,1733,09:18:42,2017-07-18 
1693,1904,1634,1733,09:18:47,2017-07-18 
1695,1905,1630,1731,09:18:52,2017-07-18 
1695,1897,1625,1730,09:18:57,2017-07-18 
1694,1897,1626,1733,09:19:02,2017-07-18 
1694,1886,1635,1734,09:19:07,2017-07-18 
1694,1887,1625,1732,09:19:12,2017-07-18 
1694,1888,1625,1731,09:19:17,2017-07-18 
1695,1887,1627,1732,09:19:22,2017-07-18 
1695,1886,1629,1731,09:19:27,2017-07-18 
1694,1886,1620,1731,09:19:32,2017-07-18 
1694,1894,1631,1733,09:19:37,2017-07-18 
1695,1888,1627,1732,09:19:42,2017-07-18 
1694,1897,1625,1732,09:19:47,2017-07-18 
1695,1899,1626,1731,09:19:52,2017-07-18 
1694,1895,1630,1731,09:19:57,2017-07-18 
1694,1898,1626,1731,09:20:02,2017-07-18 
1695,1901,1629,1731,09:20:07,2017-07-18 
1694,1908,1630,1732,09:20:12,2017-07-18 
1694,1905,1629,1733,09:20:17,2017-07-18 
1694,1904,1627,1732,09:20:22,2017-07-18 
1694,1902,1630,1731,09:20:27,2017-07-18 
1695,1887,1627,1732,09:20:32,2017-07-18 
1695,1885,1628,1732,09:20:37,2017-07-18 
1695,1887,1627,1732,09:20:42,2017-07-18 
1694,1886,1626,1732,09:20:47,2017-07-18 
1695,1885,1628,1732,09:20:52,2017-07-18 
1695,1883,1629,1731,09:20:57,2017-07-18 
1695,1888,1629,1730,09:21:02,2017-07-18 
1694,1901,1626,1732,09:21:08,2017-07-18 
1694,1901,1625,1733,09:21:13,2017-07-18 
1694,1899,1626,1732,09:21:18,2017-07-18 
1695,1905,1625,1730,09:21:23,2017-07-18 
1694,1902,1625,1730,09:21:28,2017-07-18 
1695,1888,1627,1732,09:21:33,2017-07-18 
1695,1887,1627,1732,09:21:38,2017-07-18 
1696,1890,1630,1732,09:21:43,2017-07-18 
1694,1889,1625,1732,09:21:48,2017-07-18 
1695,1887,1624,1734,09:21:53,2017-07-18 
1695,1885,1625,1734,09:21:58,2017-07-18 
1695,1895,1629,1733,09:22:03,2017-07-18 
1696,1904,1634,1732,09:22:08,2017-07-18 
1696,1887,1627,1731,09:22:13,2017-07-18 
1694,1886,1630,1733,09:22:18,2017-07-18 
1695,1906,1626,1733,09:22:23,2017-07-18 
1696,1896,1628,1731,09:22:28,2017-07-18 
1696,1904,1631,1733,09:22:33,2017-07-18 
1696,1905,1631,1730,09:22:38,2017-07-18 
1694,1906,1631,1729,09:22:43,2017-07-18 
1695,1887,1627,1727,09:22:48,2017-07-18 
1695,1886,1625,1724,09:22:53,2017-07-18 
1694,1886,1620,1723,09:22:58,2017-07-18 
1694,1887,1625,1723,09:23:03,2017-07-18 
1695,1886,1625,1722,09:23:08,2017-07-18 
1694,1890,1629,1722,09:23:13,2017-07-18 
1695,1899,1625,1721,09:23:18,2017-07-18 
1695,1898,1628,1720,09:23:23,2017-07-18 
1696,1903,1633,1717,09:23:28,2017-07-18 
1696,1905,1633,1716,09:23:33,2017-07-18 
1696,1886,1628,1715,09:23:38,2017-07-18 
1694,1906,1625,1714,09:23:43,2017-07-18 
1694,1897,1627,1715,09:23:49,2017-07-18 
1694,1896,1626,1713,09:23:54,2017-07-18 
1693,1907,1625,1711,09:23:59,2017-07-18 
1695,1905,1628,1711,09:24:04,2017-07-18 
1695,1906,1631,1713,09:24:09,2017-07-18 
1695,1889,1625,1709,09:24:14,2017-07-18 
1694,1906,1627,1706,09:24:19,2017-07-18 
1696,1902,1628,1706,09:24:24,2017-07-18 
1695,1905,1626,1703,09:24:29,2017-07-18 
1696,1906,1632,1703,09:24:34,2017-07-18 
1694,1906,1626,1702,09:24:39,2017-07-18 
1695,1902,1626,1701,09:24:44,2017-07-18 
1696,1891,1632,1695,09:24:49,2017-07-18 
1695,1884,1626,1696,09:24:54,2017-07-18 
1683,1889,1621,1693,09:24:59,2017-07-18 
1695,1905,1627,1691,09:25:04,2017-07-18 
1694,1903,1630,1690,09:25:09,2017-07-18 
1695,1906,1629,1687,09:25:14,2017-07-18 
1695,1906,1628,1687,09:25:19,2017-07-18 
1695,1907,1627,1684,09:25:24,2017-07-18 
1696,1895,1626,1683,09:25:29,2017-07-18 
